id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
s1,0.8,0.92,0.9,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,0.4,0.58,0.16,0,0,0,0,0,0,0,0.6,1,1,1,1,1,1,1,1,1
s2,0.6,0.55,0.48,0.42,0.29,0.26,0,0,0,0,0.6,0.16,0.26,0.34,0.23,0,0,0,0,0,0.8,0.83,0.77,1,1,1,1,1,1,1,0.2,0.46,0.15,0,0,0,0,0,0,0
s3,0.4,0.44,0.51,0.5,0.68,0.68,0.58,0.42,0.64,0.59,0.2,0.32,0,0,0,0,0,0,0,0,0.6,0.78,0.96,1,1,1,1,1,1,1,0.4,0.21,0.08,0.4,0,0,0,0,0,0
s4,0.2,0.04,0.23,0.4,0.34,0.38,0.33,0.47,0.22,0.31,0.4,0.63,0.68,0.78,0.72,0.54,0.83,0.9,0.95,0.96,0.2,0,0,0,0,0,0,0,0,0,0.8,1,1,1,1,1,1,1,1,1
