id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
s1,0.4,0.4,0.4,0.29,0.33,0.32,0.2,0.26,0.21,0.37,0.4,0.54,0.95,0.91,0.83,0.65,0.43,0.3,0.4,0.48,0.2,0.18,0,0,0,0,0,0,0,0,0.2,0.41,0.44,0.35,0.29,0.54,0.35,0.1,0,0
s2,0.6,0.5,0.46,0.58,0.38,0.46,0.36,0.37,0.2,0.22,0.6,0.5,0.64,0.75,0.55,0.8,0.86,1,1,1,0.8,0.99,0.77,1,1,1,1,1,1,1,0.6,0.59,0.6,0.93,1,1,1,1,1,1
s3,0.2,0.13,0.17,0.2,0.09,0.13,0.16,0.24,0.4,0.38,0.8,0.67,0.78,0.57,0.77,0.57,0.99,0.8,0.74,1,0.6,0,0,0,0,0,0,0,0,0,0.8,1,1,1,1,1,1,1,1,1
s4,0.8,0.8,0.89,0.74,0.67,0.61,0.55,0.46,0.56,0.61,0.2,0.23,0.52,0.53,0.23,0,0,0,0,0,0.4,0.42,0,0,0,0,0,0,0,0,0.4,0.14,0.19,0.23,0.15,0.29,0.78,0.58,0.61,0.63
