id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0.7,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.7,0.3,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1,0.5,0.5,0.5,0.7,0.7,0.7,0.3,0.3,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.3,0.3,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.7,0.7,0.5,0.7,0.5,0.5,0.5,0.9
2,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.3,0.5,0.7,0.5,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.7,0.3,0.3,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7
3,0.3,0.5,0.5,0.3,0.7,0.3,0.5,0.5,0.5,0.3,0.5,0.3,0.5,0.3,0.7,0.5,0.3,0.5,0.5,0.5,0.5,0.7,0.3,0.5,0.5,0.5,0.3,0.7,0.5,0.7,0.5,0.5,0.3,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.5
4,0.5,0.5,0.5,0.7,0.5,0.3,0.5,0.3,0.5,0.3,0.5,0.5,0.5,0.7,0.5,0.3,0.5,0.5,0.5,0.7,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9
5,0.5,0.5,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.9
6,0.5,0.5,0.5,0.7,0.7,0.7,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.7
7,0.5,0.3,0.5,0.5,0.3,0.7,0.5,0.7,0.5,0.5,0.3,0.5,0.3,0.3,0.5,0.5,0.3,0.7,0.7,0.7,0.5,0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5
8,0.5,0.5,0.5,0.5,0.7,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.9
9,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.9
